Timepoint,0,1,2,3,4
,5.0782,10.728,10.286,4.3167,-3.0968
,5.0767,10.794,10.422,4.3829,-3.1192
,5.0754,10.861,10.56,4.4499,-3.1414
,5.0741,10.928,10.699,4.5176,-3.1631
,5.0728,10.995,10.84,4.5856,-3.1842
,5.0715,11.064,10.981,4.6535,-3.2044
,5.0702,11.134,11.123,4.721,-3.2236
,5.0687,11.205,11.266,4.7877,-3.2417
,5.0671,11.277,11.409,4.8532,-3.2586
,5.0654,11.351,11.551,4.9171,-3.2739
,5.0634,11.427,11.694,4.9791,-3.2878
,5.0612,11.504,11.835,5.0387,-3.2998
,5.0588,11.583,11.976,5.0958,-3.3101
,5.056,11.665,12.116,5.1502,-3.3185
,5.0528,11.748,12.255,5.2017,-3.3253
,5.0493,11.834,12.392,5.2502,-3.3304
,5.0453,11.921,12.528,5.2957,-3.334
,5.0408,12.011,12.663,5.3381,-3.3361
,5.0358,12.102,12.796,5.3772,-3.3368
,5.0302,12.196,12.928,5.4129,-3.3362
,5.024,12.292,13.058,5.4451,-3.3343
,5.0171,12.389,13.187,5.4741,-3.3313
,5.0096,12.489,13.314,5.5,-3.3275
,5.0014,12.59,13.439,5.5229,-3.3231
,4.9924,12.693,13.563,5.5432,-3.3184
,4.9827,12.797,13.686,5.5611,-3.3136
,4.9722,12.902,13.808,5.5767,-3.3089
,4.9608,13.009,13.928,5.5903,-3.3046
,4.9486,13.117,14.048,5.6021,-3.3009
,4.9355,13.225,14.167,5.6123,-3.2981
,4.9215,13.335,14.285,5.6213,-3.2963
,4.9067,13.445,14.403,5.6294,-3.2957
,4.8911,13.555,14.52,5.6369,-3.2965
,4.8746,13.666,14.637,5.644,-3.299
,4.8574,13.777,14.754,5.6512,-3.3032
,4.8394,13.889,14.87,5.6587,-3.3095
,4.8207,14,14.987,5.6668,-3.3181
,4.8012,14.111,15.104,5.6759,-3.329
,4.7811,14.221,15.221,5.686,-3.3423
,4.7604,14.331,15.338,5.6974,-3.3579
,4.7392,14.441,15.455,5.7102,-3.376
,4.7177,14.551,15.573,5.7246,-3.3964
,4.6958,14.659,15.691,5.7408,-3.4191
,4.6738,14.767,15.809,5.7588,-3.4441
,4.6516,14.875,15.927,5.7789,-3.4715
,4.6294,14.981,16.045,5.8013,-3.5011
,4.6072,15.087,16.164,5.8259,-3.5329
,4.5853,15.192,16.282,5.8527,-3.5667
,4.5638,15.296,16.4,5.8817,-3.6022
,4.5427,15.4,16.518,5.9129,-3.6393
,4.5223,15.502,16.636,5.9462,-3.6777
,4.5026,15.604,16.753,5.9815,-3.7173
,4.4839,15.705,16.869,6.0189,-3.7578
,4.4661,15.806,16.985,6.0582,-3.7992
,4.4496,15.906,17.1,6.0995,-3.841
,4.4343,16.004,17.213,6.1425,-3.8832
,4.4205,16.103,17.325,6.1872,-3.9255
,4.4081,16.2,17.436,6.2333,-3.9676
,4.3975,16.297,17.545,6.2808,-4.0094
,4.3887,16.393,17.652,6.3294,-4.0506
,4.3817,16.488,17.758,6.3791,-4.0909
,4.3768,16.582,17.861,6.4296,-4.1302
,4.3741,16.676,17.962,6.4808,-4.1682
,4.3737,16.769,18.061,6.5327,-4.2048
,4.3755,16.862,18.157,6.5849,-4.2398
,4.3797,16.953,18.25,6.6375,-4.2731
,4.3862,17.044,18.341,6.6902,-4.3046
,4.3953,17.134,18.429,6.7429,-4.3342
,4.4069,17.222,18.514,6.7954,-4.3618
,4.421,17.31,18.596,6.8476,-4.3871
,4.4378,17.397,18.675,6.8995,-4.4102
,4.4573,17.482,18.751,6.9507,-4.4309
,4.4793,17.566,18.824,7.0013,-4.4492
,4.5039,17.649,18.894,7.0513,-4.4652
,4.531,17.731,18.96,7.1004,-4.4789
,4.5605,17.811,19.024,7.1487,-4.4902
,4.5924,17.89,19.084,7.1961,-4.4993
,4.6267,17.966,19.142,7.2425,-4.506
,4.6634,18.042,19.196,7.2878,-4.5104
,4.7022,18.115,19.247,7.332,-4.5125
,4.7432,18.186,19.296,7.375,-4.5124
,4.7861,18.256,19.341,7.4169,-4.5103
,4.8307,18.324,19.384,7.4577,-4.5061
,4.877,18.389,19.425,7.4974,-4.5
,4.9248,18.452,19.462,7.536,-4.4922
,4.9739,18.513,19.498,7.5735,-4.4826
,5.0242,18.572,19.531,7.61,-4.4715
,5.0755,18.628,19.561,7.6454,-4.4588
,5.1275,18.682,19.59,7.6798,-4.4447
,5.1802,18.734,19.617,7.7132,-4.4293
,5.2333,18.783,19.642,7.7457,-4.4128
,5.2866,18.83,19.665,7.7775,-4.3953
,5.3399,18.874,19.686,7.8084,-4.3768
,5.3929,18.916,19.706,7.8387,-4.3576
,5.4456,18.955,19.725,7.8683,-4.3376
,5.4975,18.992,19.743,7.8973,-4.3171
,5.5487,19.026,19.759,7.9259,-4.2962
,5.5989,19.058,19.774,7.9539,-4.2749
,5.648,19.087,19.789,7.9815,-4.2533
,5.6959,19.114,19.802,8.0087,-4.2316
,5.7424,19.138,19.815,8.0355,-4.2097
,5.7874,19.16,19.826,8.0621,-4.1878
,5.8307,19.18,19.837,8.0883,-4.166
,5.8723,19.198,19.847,8.1143,-4.1443
,5.912,19.213,19.856,8.14,-4.1228
,5.9498,19.226,19.865,8.1655,-4.1016
,5.9858,19.236,19.872,8.1908,-4.0807
,6.0199,19.245,19.879,8.2156,-4.0601
,6.0523,19.251,19.884,8.2401,-4.0397
,6.083,19.256,19.888,8.2641,-4.0198
,6.112,19.258,19.892,8.2876,-4.0001
,6.1394,19.258,19.893,8.3106,-3.9809
,6.1652,19.257,19.893,8.3329,-3.962
,6.1896,19.254,19.892,8.3546,-3.9435
,6.2126,19.248,19.889,8.3754,-3.9254
,6.2347,19.242,19.884,8.3953,-3.9076
,6.2558,19.233,19.876,8.4141,-3.8901
,6.2763,19.223,19.866,8.4316,-3.873
,6.2964,19.211,19.854,8.4479,-3.8561
,6.3162,19.198,19.839,8.4626,-3.8394
,6.3359,19.183,19.821,8.4758,-3.823
,6.3558,19.167,19.799,8.4872,-3.8068
,6.3759,19.15,19.775,8.4968,-3.7909
,6.3966,19.131,19.746,8.5044,-3.7751
,6.418,19.112,19.715,8.51,-3.7597
,6.4402,19.091,19.68,8.5134,-3.7444
,6.4635,19.069,19.64,8.5145,-3.7295
,6.488,19.046,19.597,8.5132,-3.7148
,6.5139,19.022,19.55,8.5094,-3.7004
,6.5414,18.997,19.499,8.503,-3.6864
,6.5705,18.972,19.444,8.4939,-3.6727
,6.6013,18.946,19.384,8.4822,-3.6595
,6.6337,18.919,19.321,8.4679,-3.6469
,6.6676,18.892,19.253,8.4509,-3.6349
,6.7032,18.865,19.182,8.4313,-3.6237
,6.7404,18.837,19.108,8.4091,-3.6134
,6.7792,18.809,19.029,8.3842,-3.604
,6.8195,18.78,18.948,8.3568,-3.5957
,6.8614,18.752,18.863,8.3267,-3.5885
,6.9045,18.724,18.775,8.2943,-3.5826
,6.9487,18.695,18.684,8.2595,-3.5781
,6.9938,18.667,18.591,8.2226,-3.5752
,7.0396,18.639,18.496,8.1835,-3.5739
,7.0859,18.611,18.399,8.1426,-3.5744
,7.1325,18.583,18.3,8.0998,-3.5769
,7.1791,18.556,18.2,8.0553,-3.5813
,7.2257,18.529,18.1,8.0092,-3.5879
,7.2718,18.502,17.998,7.9618,-3.5967
,7.3174,18.476,17.896,7.9131,-3.6076
,7.3621,18.45,17.795,7.8632,-3.6208
,7.4058,18.424,17.693,7.8124,-3.6362
,7.4482,18.399,17.592,7.7608,-3.6538
,7.4891,18.374,17.492,7.7085,-3.6737
,7.5283,18.35,17.393,7.6556,-3.6958
,7.5654,18.326,17.295,7.6025,-3.7201
,7.6005,18.302,17.198,7.549,-3.7466
,7.6333,18.278,17.104,7.4954,-3.7751
,7.6638,18.254,17.011,7.4417,-3.8054
,7.692,18.23,16.92,7.388,-3.8372
,7.7177,18.206,16.831,7.3343,-3.8704
,7.7408,18.182,16.744,7.2808,-3.9048
,7.7613,18.157,16.659,7.2276,-3.9402
,7.779,18.132,16.576,7.1746,-3.9764
,7.794,18.106,16.496,7.122,-4.0131
,7.8063,18.08,16.418,7.0698,-4.0502
,7.816,18.052,16.341,7.0179,-4.0872
,7.8232,18.024,16.267,6.9665,-4.124
,7.828,17.994,16.195,6.9154,-4.1601
,7.8305,17.963,16.124,6.8646,-4.1954
,7.8308,17.931,16.055,6.8143,-4.2294
,7.829,17.897,15.988,6.7643,-4.262
,7.8252,17.862,15.922,6.7147,-4.2927
,7.8195,17.825,15.857,6.6654,-4.3215
,7.8121,17.786,15.794,6.6164,-4.3481
,7.8032,17.745,15.731,6.5677,-4.3724
,7.7931,17.703,15.669,6.5194,-4.3942
,7.7818,17.659,15.608,6.4712,-4.4134
,7.7695,17.613,15.548,6.4233,-4.4297
,7.7565,17.565,15.488,6.3755,-4.4431
,7.7429,17.515,15.428,6.3279,-4.4533
,7.7288,17.464,15.368,6.2805,-4.4603
,7.7145,17.411,15.309,6.2332,-4.4642
,7.7001,17.356,15.249,6.1861,-4.4651
,7.6858,17.299,15.189,6.1392,-4.4632
,7.6716,17.242,15.13,6.0925,-4.4585
,7.6577,17.183,15.07,6.0459,-4.4513
,7.6443,17.123,15.01,5.9995,-4.4415
,7.6316,17.063,14.949,5.9534,-4.4294
,7.6196,17.002,14.889,5.9074,-4.4151
,7.6084,16.94,14.828,5.8617,-4.3989
,7.5981,16.878,14.767,5.8163,-4.381
,7.5887,16.815,14.705,5.7712,-4.3617
,7.5803,16.753,14.644,5.7265,-4.3414
,7.5729,16.692,14.583,5.6823,-4.3204
,7.5665,16.631,14.521,5.6385,-4.2988
,7.5612,16.57,14.46,5.5952,-4.2772
,7.557,16.511,14.399,5.5525,-4.2557
,7.554,16.452,14.338,5.5104,-4.2346
,7.5519,16.395,14.278,5.4689,-4.2141
,7.5508,16.339,14.217,5.4282,-4.1945
,7.5506,16.285,14.158,5.3882,-4.176
,7.5512,16.232,14.099,5.349,-4.1587
,7.5524,16.18,14.04,5.3107,-4.143
,7.5543,16.131,13.983,5.2733,-4.129
,7.5568,16.083,13.926,5.2368,-4.1169
,7.5597,16.037,13.87,5.2013,-4.107
,7.5629,15.992,13.815,5.1669,-4.0992
,7.5663,15.95,13.762,5.1335,-4.0935
,7.5697,15.908,13.709,5.1012,-4.0899
,7.5729,15.869,13.658,5.07,-4.0884
,7.5757,15.83,13.607,5.04,-4.0889
,7.5781,15.793,13.558,5.0111,-4.0915
,7.5799,15.757,13.511,4.9835,-4.096
,7.5809,15.721,13.464,4.9571,-4.1025
,7.581,15.687,13.419,4.9319,-4.1109
,7.5801,15.653,13.375,4.9081,-4.1209
,7.578,15.619,13.333,4.8855,-4.1324
,7.5746,15.586,13.291,4.8643,-4.1453
,7.5699,15.552,13.252,4.8444,-4.1593
,7.5637,15.519,13.213,4.8259,-4.1743
,7.5559,15.485,13.175,4.8087,-4.1902
,7.5463,15.45,13.139,4.7929,-4.2066
,7.535,15.414,13.104,4.7786,-4.2236
,7.5219,15.378,13.069,4.7657,-4.2409
,7.5072,15.34,13.036,4.7542,-4.2584
,7.4907,15.302,13.004,4.7443,-4.276
,7.4727,15.262,12.973,4.7358,-4.2936
,7.453,15.22,12.942,4.7289,-4.3111
,7.4319,15.178,12.912,4.7236,-4.3282
,7.4092,15.133,12.883,4.7198,-4.345
,7.3851,15.087,12.854,4.7177,-4.3612
,7.3597,15.039,12.826,4.7172,-4.3769
,7.3333,14.99,12.798,4.7183,-4.3921
,7.306,14.94,12.771,4.7211,-4.4069
,7.2781,14.888,12.743,4.7256,-4.4211
,7.2499,14.834,12.716,4.7318,-4.435
,7.2214,14.78,12.689,4.7397,-4.4484
,7.1929,14.724,12.662,4.7494,-4.4615
,7.1646,14.667,12.634,4.7608,-4.4742
,7.1368,14.61,12.607,4.7739,-4.4866
,7.1097,14.551,12.579,4.7887,-4.4988
,7.0835,14.492,12.55,4.8052,-4.5109
,7.0585,14.433,12.522,4.8233,-4.5229
,7.0349,14.373,12.492,4.843,-4.535
,7.0129,14.313,12.462,4.8641,-4.5473
,6.9928,14.253,12.432,4.8868,-4.5597
,6.9749,14.194,12.4,4.911,-4.5725
,6.9592,14.135,12.368,4.9365,-4.5857
,6.946,14.076,12.335,4.9632,-4.5993
,6.9354,14.018,12.302,4.9911,-4.6132
,6.9273,13.961,12.267,5.0199,-4.6277
,6.9219,13.904,12.232,5.0496,-4.6425
,6.9193,13.848,12.195,5.08,-4.6578
,6.9197,13.793,12.158,5.1109,-4.6735
,6.9229,13.739,12.119,5.1423,-4.6897
,6.9293,13.686,12.08,5.1739,-4.7064
,6.9386,13.634,12.04,5.2057,-4.7234
,6.9508,13.584,11.999,5.2374,-4.7408
,6.9658,13.534,11.957,5.2689,-4.7583
,6.9833,13.484,11.913,5.2999,-4.7758
,7.0034,13.436,11.869,5.3304,-4.7933
,7.0259,13.389,11.824,5.3601,-4.8107
,7.0506,13.342,11.779,5.3888,-4.8278
,7.0775,13.295,11.732,5.4165,-4.8445
,7.1064,13.249,11.684,5.4428,-4.8607
,7.1369,13.203,11.636,5.4679,-4.8763
,7.169,13.158,11.587,5.4915,-4.8912
,7.2023,13.112,11.537,5.5137,-4.9053
,7.2367,13.066,11.486,5.5343,-4.9183
,7.2718,13.02,11.434,5.5534,-4.9303
,7.3074,12.974,11.382,5.5707,-4.941
,7.3434,12.926,11.329,5.5863,-4.9504
,7.3794,12.878,11.275,5.6001,-4.9583
,7.4152,12.829,11.22,5.6122,-4.9648
,7.4507,12.778,11.165,5.6227,-4.9698
,7.4856,12.726,11.109,5.6317,-4.9734
,7.5196,12.673,11.051,5.6394,-4.9755
,7.5527,12.618,10.993,5.6459,-4.9761
,7.5844,12.562,10.935,5.6512,-4.9752
,7.6148,12.503,10.875,5.6556,-4.9728
,7.6435,12.443,10.814,5.6591,-4.969
,7.6703,12.38,10.752,5.6619,-4.9637
,7.6953,12.315,10.69,5.6641,-4.9572
,7.7182,12.248,10.626,5.6659,-4.9496
,7.7391,12.179,10.561,5.6675,-4.941
,7.7577,12.107,10.495,5.6689,-4.9315
,7.7741,12.033,10.428,5.6704,-4.9213
,7.788,11.957,10.359,5.6721,-4.9105
,7.7995,11.878,10.29,5.6741,-4.8993
,7.8084,11.797,10.219,5.6766,-4.8878
,7.8148,11.714,10.146,5.6794,-4.8762
,7.8188,11.628,10.073,5.6824,-4.8646
,7.8203,11.54,9.9975,5.6853,-4.8532
,7.8194,11.45,9.9211,5.6881,-4.8422
,7.8162,11.359,9.8432,5.6907,-4.8318
,7.8107,11.265,9.764,5.6928,-4.8221
,7.803,11.17,9.6834,5.6943,-4.8133
,7.7931,11.073,9.6014,5.6951,-4.8056
,7.7811,10.974,9.5181,5.6946,-4.7991
,7.7671,10.874,9.4334,5.6923,-4.7939
,7.7514,10.774,9.3477,5.6874,-4.79
,7.7341,10.672,9.2608,5.6795,-4.7876
,7.7154,10.57,9.1729,5.6677,-4.7867
,7.6953,10.467,9.0841,5.6516,-4.7875
,7.6741,10.364,8.9944,5.6304,-4.79
,7.6519,10.261,8.904,5.6037,-4.7943
,7.6288,10.158,8.8129,5.5706,-4.8005
,7.6051,10.055,8.7214,5.5304,-4.8084
,7.5809,9.9534,8.6295,5.4824,-4.8181
,7.5564,9.8522,8.5375,5.4258,-4.8296
,7.5318,9.7518,8.4456,5.3598,-4.8428
,7.5072,9.6526,8.3539,5.2836,-4.8575
,7.4829,9.5547,8.2626,5.1966,-4.874
,7.459,9.4583,8.1718,5.0979,-4.8919
,7.4356,9.3635,8.0818,4.9869,-4.9114
,7.413,9.2704,7.9927,4.8633,-4.9323
,7.3911,9.179,7.9047,4.7268,-4.9545
,7.3701,9.0894,7.8181,4.5771,-4.9778
,7.3501,9.0015,7.733,4.4142,-5.002
,7.3312,8.9155,7.6496,4.2377,-5.0272
,7.3135,8.8312,7.5682,4.0474,-5.053
,7.297,8.7487,7.4888,3.8431,-5.0795
,7.282,8.6681,7.4118,3.6247,-5.1064
,7.2683,8.5892,7.3372,3.3923,-5.1336
,7.2559,8.5118,7.2652,3.1468,-5.161
,7.2449,8.4357,7.1959,2.8889,-5.1884
,7.2351,8.3608,7.1293,2.6192,-5.2156
,7.2265,8.2867,7.0657,2.3386,-5.2425
,7.2191,8.2134,7.005,2.0477,-5.269
,7.2128,8.1405,6.9474,1.7472,-5.2948
,7.2076,8.068,6.8931,1.438,-5.3198
,7.2033,7.9955,6.842,1.1208,-5.344
,7.1999,7.9228,6.7941,0.79684,-5.3671
,7.1973,7.8497,6.7491,0.46749,-5.3891
,7.1952,7.7758,6.7071,0.13399,-5.4099
,7.1935,7.7009,6.6678,-0.20239,-5.4294
,7.1921,7.6248,6.6312,-0.54037,-5.4476
,7.1908,7.5472,6.5971,-0.87869,-5.4643
,7.1894,7.4677,6.5654,-1.2161,-5.4794
,7.1879,7.3863,6.536,-1.5512,-5.493
,7.1861,7.3026,6.5084,-1.8832,-5.5049
,7.1838,7.2167,6.4822,-2.2108,-5.5152
,7.1808,7.1286,6.457,-2.5332,-5.524
,7.1771,7.038,6.4323,-2.8493,-5.5312
,7.1725,6.9449,6.4076,-3.1582,-5.5371
,7.1668,6.8493,6.3826,-3.4588,-5.5415
,7.1599,6.7511,6.3566,-3.7502,-5.5446
,7.1516,6.6502,6.3294,-4.0314,-5.5464
,7.1419,6.5467,6.3003,-4.3017,-5.547
,7.1306,6.4408,6.2686,-4.5609,-5.5465
,7.1176,6.3326,6.2337,-4.8089,-5.5451
,7.103,6.2224,6.1948,-5.0456,-5.543
,7.0867,6.1104,6.1514,-5.2706,-5.5404
,7.0686,5.9969,6.1026,-5.484,-5.5373
,7.0485,5.882,6.0478,-5.6854,-5.5341
,7.0266,5.7659,5.9863,-5.8748,-5.5308
,7.0026,5.649,5.9175,-6.0521,-5.5276
,6.9767,5.5313,5.8408,-6.2176,-5.5247
,6.9489,5.4133,5.7557,-6.3718,-5.5222
,6.9192,5.2951,5.6616,-6.5151,-5.5202
,6.8877,5.1771,5.5582,-6.6479,-5.519
,6.8543,5.0595,5.4448,-6.7707,-5.5187
,6.8191,4.9426,5.3209,-6.8839,-5.5193
,6.7822,4.8266,5.1861,-6.988,-5.5212
,6.7436,4.7119,5.0398,-7.0833,-5.5244
,6.7034,4.5985,4.8819,-7.1703,-5.5289
,6.6616,4.4865,4.7126,-7.2496,-5.5348
,6.6185,4.3758,4.5318,-7.3215,-5.5421
,6.574,4.2665,4.3398,-7.3866,-5.5506
,6.5284,4.1585,4.1367,-7.4453,-5.5605
,6.4817,4.0519,3.9225,-7.4981,-5.5716
,6.4339,3.9466,3.6974,-7.5453,-5.584
,6.3854,3.8428,3.4616,-7.5876,-5.5976
,6.336,3.7402,3.2152,-7.6253,-5.6124
,6.286,3.6386,2.9592,-7.6585,-5.6281
,6.2355,3.5377,2.6943,-7.6874,-5.6446
,6.1847,3.437,2.4214,-7.7122,-5.6616
